gene,0,12,24,48,72,Cluster
A17C_Medtr4g009873_rep1,39.06,20.72,30.37,32.71,31.85,Mtr-Shoot-DTW011-DPGP001
A17C_Medtr8g107270_rep1,7.18,10.92,6.04,6.15,5.87,Mtr-Shoot-DTW042-DPGP001
A17C_Medtr0184s0030_rep1,5.22,1.38,4.09,6.25,5.65,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr6g083200_rep1,17.03,25.19,13.08,14.81,11.72,Mtr-Shoot-DTW042-DPGP001
A17C_Medtr3g073960_rep1,43.91,90.32,58.97,54.22,48.99,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr2g103840_rep1,45.22,5.63,47.33,39.13,46.79,Mtr-Shoot-DTW017-DPGP001
A17C_Medtr8g083220_rep1,0.88,6.84,0.7,0.83,1.35,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr3g113160_rep1,26.11,22.5,34.47,38.73,39.29,Mtr-Shoot-DTW039-DPGP001
A17C_Medtr1g025700_rep1,2.07,10.27,3.13,3.06,4.05,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr1g109310_rep1,4.73,12.27,4.4,7.01,7.81,Mtr-Shoot-DTW041-DPGP001
A17C_Medtr3g082830_rep1,2,14.96,3.89,4.6,4.1,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr7g105840_rep1,15.03,30.33,13.31,15.5,12.96,Mtr-Shoot-DTW012-DPGP001
A17C_Medtr3g105430_rep1,33.45,37.81,42.35,48.1,50.65,Mtr-Shoot-DTW029-DPGP001
A17C_Medtr0242s0020_rep1,0.59,0.22,0.65,0.71,0.6,Mtr-Shoot-DTW003-DPGP001
A17C_Medtr2g005260_rep1,69.35,60.04,75.7,67.59,65.32,Mtr-Shoot-DTW023-DPGP001
A17C_Medtr8g093730_rep1,66.24,52.08,71.24,76.2,67.12,Mtr-Shoot-DTW003-DPGP001
A17C_Medtr7g019130_rep1,2.59,6.16,3.69,3.46,2.98,Mtr-Shoot-DTW038-DPGP001
A17C_Medtr4g064730_rep1,0.2,14.66,0.57,0.49,1.22,Mtr-Shoot-DTW012-DPGP002
A17C_Medtr1g026840_rep1,23.81,17.3,26.23,24.75,22.36,Mtr-Shoot-DTW003-DPGP001
A17C_Medtr2g090380_rep1,26.28,39.94,25.09,23.27,22.3,Mtr-Shoot-DTW042-DPGP001
A17C_Medtr1g094180_rep1,13.7,23.38,15.72,17.09,19.37,Mtr-Shoot-DTW021-DPGP001
A17C_Medtr4g067340_rep1,5.84,3.94,9.26,7.11,7.72,Mtr-Shoot-DTW026-DPGP001
A17C_Medtr1g036870_rep1,0.24,3.57,2.11,0.4,0.4,Mtr-Shoot-DTW025-DPGP001
A17C_Medtr5g030950_rep1,1619.49,1305.04,1323.92,1303.25,1359.38,Mtr-Shoot-DTW019-DPGP001
